Category: All categories

Week,what is vaping: (United States),is vaping safe: (United States),vaping shop: (United States),buy juul: (United States),buy iqos: (United States)
2017-02-12,18,5,2,5,0
2017-02-19,19,6,4,5,0
2017-02-26,15,5,3,9,1
2017-03-05,20,6,3,8,1
2017-03-12,22,6,4,8,1
2017-03-19,15,6,3,9,1
2017-03-26,17,3,3,11,1
2017-04-02,21,5,4,10,1
2017-04-09,20,4,4,9,1
2017-04-16,19,5,4,10,1
2017-04-23,19,4,5,11,0
2017-04-30,20,7,3,13,0
2017-05-07,22,7,3,10,2
2017-05-14,17,6,4,16,1
2017-05-21,24,6,5,15,1
2017-05-28,19,3,5,20,1
2017-06-04,20,7,5,18,1
2017-06-11,20,5,3,14,1
2017-06-18,14,6,3,11,1
2017-06-25,20,4,3,13,1
2017-07-02,17,4,5,16,0
2017-07-09,20,6,3,15,1
2017-07-16,23,5,7,15,1
2017-07-23,17,4,4,17,1
2017-07-30,18,5,4,18,1
2017-08-06,23,4,4,19,1
2017-08-13,18,4,4,24,1
2017-08-20,22,6,4,24,1
2017-08-27,19,6,5,27,1
2017-09-03,20,7,2,24,1
2017-09-10,21,8,3,19,1
2017-09-17,18,5,4,26,1
2017-09-24,23,7,3,22,1
2017-10-01,25,5,6,23,1
2017-10-08,22,7,5,23,2
2017-10-15,30,9,5,24,1
2017-10-22,28,6,3,29,1
2017-10-29,28,7,3,26,2
2017-11-05,29,8,5,27,1
2017-11-12,33,10,3,27,1
2017-11-19,30,10,3,45,1
2017-11-26,32,6,4,41,1
2017-12-03,35,5,4,33,1
2017-12-10,32,6,3,33,2
2017-12-17,32,6,5,52,2
2017-12-24,29,6,4,56,1
2017-12-31,36,7,4,53,1
2018-01-07,32,4,4,45,2
2018-01-14,37,7,5,46,3
2018-01-21,34,5,4,39,5
2018-01-28,34,7,4,40,2
2018-02-04,37,8,3,42,2
2018-02-11,35,7,5,33,1
2018-02-18,33,6,4,41,1
2018-02-25,40,5,4,37,1
2018-03-04,40,8,5,39,1
2018-03-11,34,8,4,42,2
2018-03-18,30,5,4,40,2
2018-03-25,33,6,6,47,1
2018-04-01,37,4,5,42,1
2018-04-08,32,6,3,37,2
2018-04-15,28,8,4,44,2
2018-04-22,34,10,3,46,1
2018-04-29,30,9,4,47,1
2018-05-06,29,9,3,56,2
2018-05-13,31,11,4,54,2
2018-05-20,31,9,5,53,1
2018-05-27,29,13,3,53,2
2018-06-03,27,9,4,62,2
2018-06-10,27,11,2,57,1
2018-06-17,23,9,4,63,1
2018-06-24,21,7,2,56,2
2018-07-01,20,7,5,78,1
2018-07-08,23,7,4,65,2
2018-07-15,22,9,4,67,1
2018-07-22,22,7,3,63,1
2018-07-29,23,10,4,77,1
2018-08-05,20,5,4,71,1
2018-08-12,21,7,4,75,1
2018-08-19,26,9,7,61,1
2018-08-26,21,7,4,68,1
2018-09-02,26,13,3,59,1
2018-09-09,30,10,4,70,1
2018-09-16,35,9,4,77,1
2018-09-23,28,12,4,68,1
2018-09-30,29,9,4,72,1
2018-10-07,36,9,6,68,2
2018-10-14,30,8,3,62,1
2018-10-21,34,7,3,71,2
2018-10-28,36,11,2,65,1
2018-11-04,36,10,4,69,1
2018-11-11,44,6,3,91,1
2018-11-18,30,8,3,76,1
2018-11-25,37,7,4,72,1
2018-12-02,36,9,3,70,2
2018-12-09,36,9,5,70,1
2018-12-16,46,9,3,80,1
2018-12-23,26,7,5,100,2
2018-12-30,23,8,3,98,1
2019-01-06,37,8,4,82,2
2019-01-13,33,9,3,75,1
2019-01-20,34,8,4,65,1
2019-01-27,32,9,3,73,1
2019-02-03,31,7,3,71,1
2019-02-10,36,7,3,74,2
2019-02-17,32,8,2,72,1
2019-02-24,39,11,4,67,2
2019-03-03,38,10,2,67,2
2019-03-10,40,8,6,70,1
2019-03-17,41,8,3,86,1
2019-03-24,37,8,6,69,1
2019-03-31,41,8,5,63,1
2019-04-07,35,8,3,63,1
2019-04-14,33,8,3,65,1
2019-04-21,39,5,5,68,1
2019-04-28,37,6,4,67,3
2019-05-05,32,8,4,59,2
2019-05-12,34,6,5,50,2
2019-05-19,32,5,5,81,3
