Category: All categories

Week,what is vaping: (United Kingdom),is vaping safe: (United Kingdom),vaping shop: (United Kingdom),buy juul: (United Kingdom),buy iqos: (United Kingdom)
2018-08-12,48,44,37,33,15
2018-08-19,30,15,41,15,15
2018-08-26,26,45,34,19,22
2018-09-02,33,44,26,11,15
2018-09-09,48,22,29,18,7
2018-09-16,25,14,32,36,14
2018-09-23,26,15,48,22,22
2018-09-30,36,36,36,29,14
2018-10-07,29,29,33,29,0
2018-10-14,33,26,40,33,0
2018-10-21,37,30,19,19,7
2018-10-28,33,18,26,18,22
2018-11-04,53,18,25,14,7
2018-11-11,21,14,14,29,28
2018-11-18,35,17,49,35,10
2018-11-25,59,10,17,21,7
2018-12-02,29,14,29,11,0
2018-12-09,53,11,23,11,19
2018-12-16,31,15,12,31,12
2018-12-23,42,25,42,21,8
2018-12-30,37,49,56,26,11
2019-01-06,57,35,28,43,18
2019-01-13,48,31,48,10,28
2019-01-20,21,21,38,21,7
2019-01-27,51,37,17,37,17
2019-02-03,59,17,34,21,21
2019-02-10,25,21,21,46,11
2019-02-17,29,39,43,22,14
2019-02-24,50,18,21,32,14
2019-03-03,32,32,21,32,7
2019-03-10,46,25,28,42,14
2019-03-17,64,14,39,29,11
2019-03-24,44,29,40,26,7
2019-03-31,21,21,39,36,18
2019-04-07,43,14,43,14,14
2019-04-14,41,15,22,22,22
2019-04-21,47,22,22,18,14
2019-04-28,49,38,17,31,17
2019-05-05,39,21,28,28,11
2019-05-12,39,22,25,36,14
2019-05-19,75,25,100,0,50
